
-for kafka

VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-10-09 19:09:10,2019-10-09 19:16:42,5,1.82,1,N,238,74,1,8.5,0,0.5,2.32,0,0.3,11.62,
2,2019-10-09 19:24:31,2019-10-09 19:31:01,1,1.21,1,N,237,163,1,7,0,0.5,2.34,0,0.3,10.14,
2,2019-10-09 19:39:05,2019-10-09 19:49:13,5,2.38,1,N,141,238,2,10,0,0.5,0,0,0.3,10.8,
1,2019-10-09 20:24:15,2019-10-09 20:27:53,1,.80,1,N,263,141,1,4.5,0.5,0.5,1.15,0,0.3,6.95,
1,2019-10-09 20:47:39,2019-10-09 20:59:04,1,2.80,1,N,161,263,1,10.5,0.5,0.5,1.5,0,0.3,13.3,
4,2019-10-08 20:29:20,2019-10-08 20:43:49,1,8.74,1,N,138,148,1,25,0.5,0.5,5,0,0.3,31.3,
2,2019-10-08 20:33:28,2019-10-08 20:42:10,1,1.31,1,N,229,234,2,7.5,0.5,0.5,0,0,0.3,8.8,
1,2019-10-08 15:49:53,2019-10-08 15:58:41,1,1.10,1,N,142,237,2,7,0,0.5,0,0,0.3,7.8,
2,2019-10-08 14:55:21,2019-10-08 15:19:44,3,2.93,1,N,244,42,1,17.5,0,0.5,0,0,0.3,18.3,
1,2019-10-08 15:43:44,2019-10-08 15:49:08,1,1.10,1,N,137,229,1,6,0,0.5,1.35,0,0.3,8.15,


