nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000005,Ingmar Bergman,1918,2007,writer|director|actor,tt0069467|tt0083922|tt0050976|tt0050986
nm0000006,Ingrid Bergman,1915,1982,actress|soundtrack|producer,tt0038787|tt0077711|tt0038109|tt0036855
nm0000007,Humphrey Bogart,1899,1957,actor|soundtrack|producer,tt0043265|tt0037382|tt0034583|tt0033870
nm0000008,Marlon Brando,1924,2004,actor|soundtrack|director,tt0070849|tt0068646|tt0078788|tt0044081
nm0000009,Richard Burton,1925,1984,actor|producer|soundtrack,tt0061184|tt0057877|tt0087803|tt0059749
nm0000010,James Cagney,1899,1986,actor|soundtrack|director,tt0035575|tt0055256|tt0029870|tt0031867
nm0000011,Gary Cooper,1901,1961,actor|soundtrack|producer,tt0044706|tt0035896|tt0034167|tt0027996
nm0000012,Bette Davis,1908,1989,actress|soundtrack|make_up_department,tt0031210|tt0035140|tt0042192|tt0056687
nm0000013,Doris Day,1922,2019,soundtrack|actress|producer,tt0048317|tt0053172|tt0055100|tt0060463
nm0000020,Henry Fonda,1905,1982,actor|producer|soundtrack,tt0032551|tt0064116|tt0082846|tt0050083
nm0000033,Alfred Hitchcock,1899,1980,actor|director|producer,tt0052357|tt0053125|tt0054215|tt0056869
nm0000559,Leonard Nimoy,1931,2015,actor|director|producer,tt0102975|tt1399103|tt0092007|tt0796366
nm0000149,Jodie Foster,1962,-1,actress|director|producer,tt0476964|tt0118884|tt0094608|tt0102926
